University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Deakin University,DU,-38.1445,144.3605,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Deakin_University_Logo_2017.svg/330px-Deakin_University_Logo_2017.svg.png,11,public,Australia,Victoria (state),59000,1974,61399189188,NA,https://www.deakin.edu.au/,"Sports Science, Nutrition",Deakin University was founded in 1974 and they are popular for sports science and nutrition.,NA,"Agriculture, Animal and Veterinary Bioscience","Animation, Creative Writing, Design, Fine Art, Film and Television, Graphic Design, Interactive and Visual Design, Music, Photography, Theatre and Performance","Accounting, Actuarial Studies, Business Analytics, Business Information Systems, Commerce, Economics, Finance, Human Resource Management, International Business, Management, Marketing, Property, Law","Education, Early Childhood Education","Aerospace Engineering, Civil Engineering, Computer Systems Engineering, Electrical and Electronic Engineering, Environmental Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Telecommunications Engineering","Biomedicine, Chiropractic, Clinical Neurosciences, Dentistry, Emergency Health, Environmental Health, Exercise and Sport Science, Health Science, Midwifery, Nursing, Occupational Therapy, Optometry, Paramedicine, Pharmacy, Physiotherapy, Podiatry, Psychology, Public Health","English, History, Languages, Philosophy, Politics and International Relations","Computer Science, Data Science, Information Technology, Cybersecurity","Biology, Chemistry, Environmental Science, Geography, Mathematics, Physics, Science","Criminology, Psychology, Social Work, Sociology",NA,NA
Edith Cowan University,ECU,-31.778,115.812,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Edith_Cowan_University_Coat_of_Arms.svg/270px-Edith_Cowan_University_Coat_of_Arms.svg.png,24,public,Australia,Western Australia,32000,1991,61863040000,NA,https://www.ecu.edu.au/,Cybersecurity,Edith Cowan University was founded in 1991 and they are popular for cybersecurity.,NA,NA,"Animation, Creative Writing, Design, Digital Media, Film and Television, Fine Art, Game Design, Graphic Design, Interactive Media, Music, Photography, Visual Communication","Accounting, Business, Business Analytics, Commercial Law, Economics, Finance, Human Resource Management, Management, Marketing, Property","Early Childhood Education, Education, Primary Education, Secondary Education, Sport and Exercise Science, Teacher Education","Civil Engineering, Computer Systems Engineering, Electrical Engineering, Engineering, Mechanical Engineering, Mechatronics Engineering, Robotics","Clinical Exercise Physiology, Dental Hygiene, Dietetics, Emergency Health Care, Exercise and Sport Science, Human Nutrition, Midwifery, Nursing, Occupational Therapy, Paramedicine, Physiotherapy, Public Health, Speech Pathology","Criminology, English, History, Indigenous Studies, International Relations, Journalism, Politics, Psychology, Sociology","Computer Science, Cybersecurity, Data Science, Information Technology, Software Engineering","Biochemistry, Biology, Chemistry, Environmental Science, Marine Biology, Mathematics, Physics","Criminology, Psychology, Social Work, Sociology",NA,NA
Federation University Australia,FUA,-37.564,143.856,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Shield_and_crest_of_Federation_University_Australia.svg/270px-Shield_and_crest_of_Federation_University_Australia.svg.png,26,public,Australia,Victoria (state),19000,1870,61353279018,NA,https://www.federation.edu.au/,"Mining, Nursing",Federation University Australia was founded in 1870 and they are popular for mining and nursing.,NA,"Agriculture, Animal and Veterinary Bioscience","Animation, Creative Art, Design, Fine Art, Graphic Design, Photography, Screen Production","Accounting, Business Analytics, Business Information Systems, Business Management, Commerce, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing, Property","Education, Early Childhood Education and Care, Primary Education, Secondary Education, Sport and Exercise Science","Civil Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Mechatronics Engineering, Mining Engineering, Robotics and Automation Engineering, Software Engineering","Biomedical Science, Chiropractic, Diagnostic Radiography, Exercise Physiology, Medical Radiation Science, Midwifery, Nursing, Occupational Therapy, Paramedical Science, Physiotherapy, Podiatry","English, History, Humanities, Languages, Politics and International Relations","Computer Science, Data Science, Information Technology, Cybersecurity","Biological Science, Chemistry, Environmental Science, Geography, Mathematics, Physics, Science","Criminology, Psychology, Social Work, Sociology",NA,NA
Flinders University,FU,-35.0209,138.57,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Flinders_University_Emblem_Variant_2022.svg/270px-Flinders_University_Emblem_Variant_2022.svg.png,20,public,Australia,South Australia,26000,1966,61882013911,NA,https://www.flinders.edu.au/,"Medicine, Archaeology",Flinders University was founded in 1966 and they are popular for medicine and archaeology.,NA,"Agriculture, Animal and Veterinary Bioscience","Creative Writing, Digital Media Design, Fine Art, Graphic Design, Media Art and Production, Music, Performing Art, Visual Communication Design","Accounting, Business Analytics, Business and Management, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing",Education,"Civil Engineering, Computer Systems Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Software Engineering","Biomedical Science, Clinical Exercise Physiology, Dentistry, Medical Radiation Science, Nursing, Occupational Therapy, Paramedical Science, Pharmacy, Physiotherapy, Psychology","Archaeology, History, Linguistics, Philosophy, Politics and International Relations","Computer Science, Data Science, Information Systems","Biochemistry, Biology, Chemistry, Earth Science, Environmental Science, Marine Science, Mathematics, Physics","Criminology, Geography, Social Work, Sociology",NA,NA
Griffith University,GU,-27.553,153.052,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Griffith_University_Logo_Variant_2022.svg/300px-Griffith_University_Logo_Variant_2022.svg.png,20,public,Australia,Queensland,45000,1971,61737357111,NA,https://www.griffith.edu.au/,"Criminology, AviationÂ ",Griffith University was founded in 1971 and they are popular for criminology and aviationÂ .,NA,"Animal Science, Veterinary Biology","Animation, Creative Industries, Digital Media, Film and Television, Fine Art, Game Design, Graphic Design, Photography, Screen Production, Visual Art","Accounting, Actuarial Studies, Business, Business Analytics, Commerce, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing, Property, Tourism","Education, Early Childhood Education, Primary Education, Secondary Education, Special Education, Teacher Education","Civil Engineering, Computer Engineering, Electrical Engineering, Environmental Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Structural Engineering, Robotics, Data Science","Biomedical Science, Dentistry, Exercise Physiology, Human Nutrition, Medical Science, Midwifery, Nursing, Occupational Therapy, Paramedicine, Pharmacy, Physiotherapy, Psychology, Public Health, Speech Pathology","Archaeology, English, History, Languages, Literature, Philosophy, Sociology","Computer Science, Information Technology, Cybersecurity, Data Science","Biochemistry, Biology, Chemistry, Environmental Science, Geography, Marine Biology, Mathematics, Physics, Zoology","Criminology, Political Science, Psychology, Social Work",NA,NA
James Cook University,JCU,-19.328,146.761,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/James_Cook_University_Armorial_Ensigns.png/300px-James_Cook_University_Armorial_Ensigns.png,26,public,Australia,Queensland,21000,1961,61747815255,enquiries@jcu.edu.au,https://www.jcu.edu.au/,Marine Biology,James Cook University was founded in 1961 and they are popular for marine biology.,NA,"Agriculture, Animal Science, Veterinary Biology","Creative Industries, Design, Fine Art, Music, Performing Art, Visual Art","Accounting, Business, Commerce, Economics, Finance, Law, Management, Marketing","Education, Teacher Education",Engineering,"Biomedical Science, Dentistry, Medical Science, Nursing, Paramedical Science, Pharmacy, Physiotherapy, Psychology","History, Languages, Literature, Philosophy","Computer Science, Information Technology","Biology, Chemistry, Earth Science, Environmental Science, Marine Biology, Physics","Criminology, Psychology, Sociology",NA,NA
La Trobe University,LTU,-37.721,145.0494,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/LTU_Armorial_CMYK_small.PNG/270px-LTU_Armorial_CMYK_small.PNG,14,public,Australia,Victoria (state),37000,1964,61394791993,NA,https://www.latrobe.edu.au/,"Archaeology, Humanities",La Trobe University was founded in 1964 and they are popular for archaeology and humanities.,NA,"Agriculture, Animal and Veterinary Bioscience","Creative Art, Fine Art, Film and Television, Graphic Design, Music, Performing Art","Accounting, Business Analytics, Business Information Systems, Commerce, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing",Education,"Civil Engineering, Computer Systems Engineering, Electrical and Computer Systems Engineering, Mechanical Engineering, Software Engineering","Allied Health, Biomedical Science, Health Science, Nursing, Paramedicine, Pharmacy, Psychology","Ancient History, Archaeology, English, History, Languages, Linguistics, Philosophy","Computer Science, Data Science, Information Technology","Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics, Sport and Exercise Science","Criminology, Geography, Politics, Sociology, Social Work",NA,NA
Macquarie University,MQ,-33.774,151.1146,https://upload.wikimedia.org/wikipedia/en/e/e7/Macquarie_University_Coat_of_Arms.png,10,public,Australia,New South Wales,45000,1964,61298507111,NA,https://www.mq.edu.au/,"Finance, Linguistics",Macquarie University was founded in 1964 and they are popular for finance and linguistics.,NA,NA,"Acting, Animation, Art, Design, Fine Art, Graphic Design, Interaction Design, Media Art and Production, Music, Performing Art, Photography, Screen Media, Visual Communication","Accounting, Actuarial Studies, Business, Business Analytics, Economics, Finance, Global Business, Human Resource Management, International Business, Law, Management, Marketing, Property, Risk Management and Insurance",Education,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering, Environmental Engineering, Mechanical Engineering, Mechatronics Engineering, Robotics Engineering, Software Engineering","Biomedical Engineering, Biotechnology, Clinical Exercise Physiology, Health Science, Medical Science, Nursing, Paramedicine, Pharmacy, Physiotherapy, Psychology","Ancient History, Archaeology, English, History, Languages, Linguistics, Philosophy, Politics, Religious Studies","Computer Science, Data Science, Information Technology, Cybersecurity","Biochemistry, Biology, Chemistry, Earth Science, Environmental Science, Marine Biology, Mathematics, Physics, Statistics","Criminology, Geography, Political Science, Psychology, Sociology",NA,NA
Monash University,MU,-37.9106,145.1362,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Arms_of_Monash_University.svg/330px-Arms_of_Monash_University.svg.png,2,public,Australia,Victoria (state),87000,1958,61399026000,NA,https://www.monash.edu/,"Pharmacy, Engineering",Monash University was founded in 1958 and they are popular for pharmacy and engineering.,NA,"Agriculture, Animal and Veterinary Bioscience","Art History, Design, Fine Art, Music, Performing Art, Visual Art","Accounting, Actuarial Studies, Banking and Finance, Business Analytics, Business Information Systems, Commerce, Economics, Finance, Management, Marketing, Property, Law","Education, Early Childhood Education, Educational Psychology","Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Systems Engineering, Electrical and Computer Systems Engineering, Environmental Engineering, Materials Science and Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Telecommunications Engineering","Biomedicine, Dentistry, Medicine, Nursing, Occupational Therapy, Paramedicine, Pharmacy, Physiotherapy, Psychology","Ancient History, English Language and Literature, History, Linguistics, Philosophy, Politics and International Relations","Computer Science, Data Science, Information Technology, Software Engineering","Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics, Science","Criminology, Geography, Political Science, Psychology, Social Work, Sociology",NA,NA
Murdoch University,MU,-32.066,115.846,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Murdoch_University_Crest.png/270px-Murdoch_University_Crest.png,26,public,Australia,Western Australia,26000,1973,61893606000,NA,https://www.murdoch.edu.au/,"Vet Science, Media Studies",Murdoch University was founded in 1973 and they are popular for vet science and media studies.,NA,"Animal Science, Veterinary Biology","Creative Art, Design","Accounting, Business, Commerce, Economics, Finance, Law",Education,"Civil Engineering, Computer Systems Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Software Engineering","Biomedical Science, Clinical Practice, Nursing, Occupational Therapy, Physiotherapy, Psychology, Speech Pathology","English, History, Philosophy, Politics and International Relations, Sociology","Computer Science, Information Technology","Biochemistry and Molecular Biology, Biology, Chemistry, Environmental Science, Marine Science, Mathematics, Physics","Criminology, Psychology, Social Work",NA,NA
Queensland University of Technology,QUT,-27.4772,153.028,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Queensland_University_of_Technology_logo.svg/500px-Queensland_University_of_Technology_logo.svg.png,11,public,Australia,Queensland,53000,1989,61731388339,NA,https://www.qut.edu.au/,"Robotics, Creative Industries",Queensland University of Technology was founded in 1989 and they are popular for robotics and creative industries.,NA,NA,"Creative Industries, Design, Fine Art, Animation, Digital Media, Film and Television, Game Design, Interactive Media, Music, Performing Art, Photography, Visual Communication","Accounting, Business, Economics, Finance, Human Resource Management, International Business, Management, Marketing, Property, Tourism, Law",Education,"Civil Engineering, Electrical Engineering, Mechanical Engineering, Chemical Engineering, Aerospace Engineering, Biomedical Engineering, Environmental Engineering, Geotechnical Engineering, Software Engineering, Robotics, Mechatronics, Engineering Technology","Biomedical Science, Medical Science, Nursing, Midwifery, Paramedicine, Occupational Therapy, Physiotherapy, Speech Pathology, Psychology, Public Health","History, Philosophy, Languages, English, Literature, Creative Writing","Computer Science, Data Science, Information Technology, Cybersecurity","Biology, Chemistry, Physics, Earth Science, Environmental Science, Mathematics, Statistics","Psychology, Sociology, Criminology, Social Work",NA,NA
RMIT University,RMIT,-37.8077,144.963,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Arms_of_the_Royal_Melbourne_Institute_of_Technology.svg/270px-Arms_of_the_Royal_Melbourne_Institute_of_Technology.svg.png,14,public,Australia,Victoria (state),55000,1887,61399252000,NA,https://www.rmit.edu.au/,"Design, Aerospace, Data Science","RMIT University was founded in 1887 and they are popular for design, aerospace and data science.",NA,NA,"Architecture, Communication Design, Fashion Design, Fine Art, Game Design, Graphic Design, Industrial Design, Interior Architecture, Jewellery and Object Design, Photography, Spatial Design","Accounting, Applied Finance, Business Analytics, Business Information Systems, Commercial Law, Economics, Finance, Human Resource Management, International Business, Management, Marketing, Property, Supply Chain Management, Tourism",Education,"Aerospace Engineering, Civil Engineering, Computer Engineering, Electrical and Computer Systems Engineering, Engineering, Environmental Engineering, Manufacturing Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Telecommunications Engineering","Biomedical Science, Clinical Exercise Physiology, Diagnostic Radiography, Environmental Health, Medical Radiation Science, Midwifery, Nursing, Occupational Therapy, Paramedicine, Pharmacy, Physiotherapy, Sport and Exercise Science","Applied Linguistics, English and Professional Communication, History, Humanities, Languages, Philosophy","Computer Science, Cybersecurity, Data Science, Information Technology","Applied Biology, Biochemistry, Chemistry, Earth Science, Environmental Science, Mathematics, Physics, Science","Criminology, Psychology, Social Work, Sociology",NA,NA
Southern Cross University,SCU,-28.814,153.293,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Southern_Cross_vertical.png/330px-Southern_Cross_vertical.png,35,public,Australia,New South Wales,18000,1994,61266203876,NA,https://www.scu.edu.au/,"Environmental Science, Osteopathy",Southern Cross University was founded in 1994 and they are popular for environmental science and osteopathy.,NA,"Animal Science, Sustainable Agriculture","Creative Art, Design, Film and Television, Photography, Visual Art","Accounting, Business, Commerce, Economics, Finance, Human Resource Management, International Business, Management, Marketing, Tourism Management","Education, Teacher Education",Engineering,"Biomedical Science, Environmental Health, Exercise and Sport Science, Health Science, Nursing, Paramedical Science, Physiotherapy, Psychology","English, History, Indigenous Knowledge, Languages, Literature, Philosophy","Computer Science, Data Science, Information Technology","Biology, Chemistry, Environmental Science, Geography, Marine Science, Mathematics, Physics","Criminology, Politics, Sociology, Social Work",NA,NA
Swinburne University of Technology,SUT,-37.8216,145.0394,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Swinburne_University_of_Technology_Coat_of_Arms.png/270px-Swinburne_University_of_Technology_Coat_of_Arms.png,14,public,Australia,Victoria (state),39000,1908,61392148444,NA,https://www.swinburne.edu.au/,"Astrophysics, Film",Swinburne University of Technology was founded in 1908 and they are popular for astrophysics and film.,NA,NA,"Animation, Architectural Design, Communication Design, Fashion Design, Game Design, Graphic Design, Industrial Design, Interior Design, Fine Art, Photography, Screen Production","Accounting, Business Analytics, Business Information Systems, Business Law, Commerce, Economics, Entrepreneurship, Finance, Human Resource Management, Management, Marketing, Property, Tourism and Hospitality Management",Education,"Aerospace Engineering, Civil Engineering, Computer Systems Engineering, Electrical and Electronics Engineering, Mechanical Engineering, Mechatronics Engineering, Software Engineering, Structural Engineering, Telecommunications Engineering","Biomedical Science, Medical Radiation Science, Nursing, Occupational Therapy, Physiotherapy, Psychology","English, History, Politics and International Relations, Sociology","Computer Science, Cybersecurity, Data Science, Information Technology","Applied Science, Biotechnology, Chemistry, Mathematics, Physics","Criminology, Psychology, Social Work",NA,NA
The University of Queensland,UQ,-27.4975,153.0131,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/University_of_Queensland_%28crest%29.svg/270px-University_of_Queensland_%28crest%29.svg.png,5,public,Australia,Queensland,56000,1909,61733469872,NA,https://www.uq.edu.au/,"Biomed, Mining, AI","The University of Queensland was founded in 1909 and they are popular for biomed, mining and AI.",NA,"Agriculture, Animal Science, Veterinary Science","Architecture, Art History, Design, Fine Art, Music, Performing Art","Accounting, Business, Commerce, Economics, Finance, Law, Management","Education, Teaching","Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Mining Engineering, Software Engineering, Information Technology","Dentistry, Medicine, Nursing, Pharmacy, Physiotherapy, Public Health","Ancient History, English, History, Languages, Literature, Philosophy","Computer Science, Data Science","Biology, Chemistry, Earth Science, Mathematics, Physics","Psychology, Sociology, Social Work",NA,NA
The University of Sydney,USyd,-33.8883,151.1873,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/University_of_Sydney_coat_of_arms.png/270px-University_of_Sydney_coat_of_arms.png,3,public,Australia,New South Wales,75000,1850,61286271444,NA,https://www.sydney.edu.au/,"Medicine, Arts, Engineering","The University of Sydney was founded in 1850 and they are popular for medicine, arts and engineering.",NA,"Animal and Veterinary Science, Agriculture","Art History, Design, Fine Art, Music, Performing Art, Visual Communication","Accounting, Commerce, Economics, Finance, Law, Management, Marketing",Education,"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering, Aerospace Engineering, Biomedical Engineering, Computer Engineering, Environmental Engineering, Geotechnical Engineering, Mechatronics Engineering, Mining Engineering, Robotics Engineering, Structural Engineering, Telecommunications Engineering","Dentistry, Medicine, Nursing, Pharmacy, Physiotherapy, Psychology, Medical Science, Speech Pathology","Ancient History, Archaeology, English, French, German, History, Italian, Linguistics, Philosophy, Spanish","Computer Science, Information Systems, Data Science","Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics, Statistics","Criminology, Geography, Political Science, Psychology, Sociology, Social Work",NA,NA
The University of Western Australia,UWA,-31.9805,115.8173,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/UWA_crest.svg/270px-UWA_crest.svg.png,8,public,Australia,Western Australia,30000,1911,61864886000,NA,https://www.uwa.edu.au/,"Marine Science, Indigenous Studies",The University of Western Australia was founded in 1911 and they are popular for marine science and indigenous studies.,NA,"Agriculture, Animal Science, Veterinary Biology","Architecture, Art History, Design, Film Studies, Music, Theatre and Performance Studies, Visual Art","Accounting, Commerce, Economics, Finance, Law, Management, Marketing",Education,"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Mining Engineering, Petroleum Engineering, Software Engineering","Biomedicine, Dentistry, Medical Science, Nursing, Occupational Therapy, Pharmacy, Physiotherapy, Psychology","Ancient History, English, History, Languages, Linguistics, Philosophy","Computer Science, Information Technology","Biochemistry, Biology, Chemistry, Earth Science, Environmental Science, Mathematics, Physics","Criminology, Geography, Political Science, Sociology, Social Work",NA,NA
