ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
39,Foreign Trade University,https://vnur.vn/wp-content/uploads/2023/01/13.Ngoai-Thuong.jpg,23,Public,Hanoi,23000,1960,842432595158,qhqt@ftu.edu.vn,https://english.ftu.edu.vn/,"international business, economics, finance","Foreign Trade University was founded in 1960 and they are popular for international business, economics and finance.",False,False,True,False,True,False,False,False,False,False
41,FPT University,https://vnur.vn/wp-content/uploads/2023/01/37.FPT_.jpg,81,Private,Hanoi,20000,2006,842473001866,daihocfpt@fpt.edu.vn,https://daihoc.fpt.edu.vn/en/,"IT, business, digital marketing","FPT University was founded in 2006 and they are popular for IT, business and digital marketing.",False,True,True,True,False,False,False,True,True,True
52,Hai Phong University,https://vnur.vn/wp-content/uploads/2023/01/81.Hai-Phong.jpg,59,Public,Hai Phong,10000,1968,842253876338,daihoc@haiphong.gov.vn,http://hpmu.edu.vn/hpmu/,"engineering, business, education","Hai Phong University was founded in 1968 and they are popular for engineering, business and education.",True,True,True,True,True,True,True,True,True,True
53,Hanoi Architectural University,https://vnur.vn/wp-content/uploads/2023/01/61.Kien-truc-Ha-Noi.jpg,50,Public,Hanoi,8000,1969,842438541616,pth@hau.edu.vn,https://hau.edu.vn/?lang=en,"architecture, urban planning",Hanoi Architectural University was founded in 1969 and they are popular for architecture and urban planning.,False,True,True,True,False,False,True,True,True,True
56,Hanoi Law University,https://vnur.vn/wp-content/uploads/2023/01/59.Luat-Ha-Noi.jpg,40,Public,Hanoi,17000,1979,842438359803,hopthuphananh.hieutruong@hlu.edu.vn,https://hlu.edu.vn/,"law, political science",Hanoi Law University was founded in 1979 and they are popular for law and political science.,False,False,True,False,True,False,False,False,True,True
57,Hanoi Medical University,https://vnur.vn/wp-content/uploads/2023/01/29.Y-Ha-Noi.jpg,39,Public,Hanoi,18000,1902,842435747005,daihocyhn@hmu.edu.vn,https://hmu.edu.vn/,"medicine, pharmacy, public health","Hanoi Medical University was founded in 1902 and they are popular for medicine, pharmacy and public health.",False,False,False,False,False,True,True,False,True,True
58,Hanoi Metropolitan University,https://vnur.vn/wp-content/uploads/2023/01/29.Thu-do-Ha-Noi.jpg,56,Public,Hanoi,2000,1959,842438330708,banbientap@hnmu.edu.vn,https://hnmu.edu.vn/en,"business, IT, social sciences","Hanoi Metropolitan University was founded in 1959 and they are popular for business, IT and social sciences.",False,True,True,True,True,True,True,True,True,True
59,Hanoi National University of Education,https://vnur.vn/wp-content/uploads/2023/01/8.Su-pham-Ha-Noi.jpg,8,Public,Hanoi,30000,1951,84241257812,p.hcdn@hnue.edu.vn,https://english.hnue.edu.vn/,"education, pedagogy, natural sciences","Hanoi National University of Education was founded in 1951 and they are popular for education, pedagogy and natural sciences.",False,True,True,True,True,True,True,True,True,True
60,Hanoi National University of Pedagogy,NA,NA,Public,Hanoi,16000,1951,842437547823,p.hcdn@hnue.edu.vn,https://english.hnue.edu.vn/,"education, social sciences",Hanoi National University of Pedagogy was founded in 1951 and they are popular for education and social sciences.,False,True,True,True,True,True,True,True,True,True
61,Hanoi Open University,https://vnur.vn/wp-content/uploads/2023/01/63.Mo-Ha-Noi.png,61,Public,Hanoi,37000,1993,842438682321,mhn@hou.edu.vn,https://hou.edu.vn/,"business, IT, social sciences","Hanoi Open University was founded in 1993 and they are popular for business, IT and social sciences.",False,True,True,True,True,False,True,True,True,True
62,Hanoi Pedagogical University 2,https://upload.wikimedia.org/wikipedia/vi/3/30/Su_pham_HN2.jpg,16,Public,Phuc Yen City,10000,1967,842113863416,bgddt-sp2@hpu2.edu.vn,https://www.hpu2.edu.vn/en-GB,"education, social sciences, natural sciences","Hanoi Pedagogical University 2 was founded in 1967 and they are popular for education, social sciences and natural sciences.",True,True,True,True,True,False,True,True,True,True
65,Hanoi University of Business and Technology,https://vnur.vn/wp-content/uploads/2023/01/86.Kinh-doanh-Cong-nghe-Ha-Noi.png,97,Public,Hanoi,13000,1996,842436336507,vanphongdkc@gmail.com,https://hust.edu.vn/en/,"business, IT, engineering","Hanoi University of Business and Technology was founded in 1996 and they are popular for business, IT and engineering.",False,False,True,True,False,False,True,False,True,True
66,Hanoi University of Civil Engineering,https://vnur.vn/wp-content/uploads/2023/01/14.Xay-dung-Ha-Noi.jpg,35,Public,Hanoi,22000,1966,842438696397,dhxaydung@huce.edu.vn,https://en.huce.edu.vn/,"civil engineering, architecture",Hanoi University of Civil Engineering was founded in 1966 and they are popular for civil engineering and architecture.,False,True,True,True,False,False,True,False,True,True
67,Hanoi University of Industry,https://vnur.vn/wp-content/uploads/2023/01/23.Cong-nghiep-Ha-Noi.jpg,33,Public,Hanoi,32000,1898,842437655391,dhcnhn@haui.edu.vn,https://www.haui.edu.vn/en,"mechanical engineering, IT, business","Hanoi University of Industry was founded in 1898 and they are popular for mechanical engineering, IT and business.",False,True,True,True,True,False,True,True,True,True
68,Hanoi University of Mining and Geology,https://vnur.vn/wp-content/uploads/2023/01/22.Mo-Dia-chat.jpg,22,Public,Hanoi,13000,1966,842438389633,hanhchinhtonghop@humg.edu.vn,https://humg.edu.vn/en/Pages/home.aspx,"geology, mining, petroleum engineering","Hanoi University of Mining and Geology was founded in 1966 and they are popular for geology, mining and petroleum engineering.",False,False,True,True,True,False,True,False,False,True
69,Hanoi University of Natural Resources and Environment,https://upload.wikimedia.org/wikipedia/commons/4/4e/HUNRE_Logo.png,67,Public,Hanoi,14000,2008,84902130130,DHTNMT@hunre.edu.vn,https://upm.vn/university/93,"environmental science, geology",Hanoi University of Natural Resources and Environment was founded in 2008 and they are popular for environmental science and geology.,True,False,True,True,True,False,True,True,True,True
70,Hanoi University of Pharmacy,https://vnur.vn/wp-content/uploads/2023/01/20.Duoc-Ha-Noi.jpg,13,Public,Hanoi,15000,1902,842438254539,info@hup.edu.vn,https://www.hup.edu.vn/en,"pharmacy, medicine, biotechnology","Hanoi University of Pharmacy was founded in 1902 and they are popular for pharmacy, medicine and biotechnology.",False,False,True,False,False,False,True,True,True,True
72,Hanoi University of Public Health,https://vnur.vn/wp-content/uploads/2023/01/41.Y-te-Cong-cong.jpg,65,Public,Hanoi,1700,2001,842462662299,jhds@huph.edu.vn,https://dtdh.huph.edu.vn/english/,"public health, medicine",Hanoi University of Public Health was founded in 2001 and they are popular for public health and medicine.,False,False,True,False,False,True,True,True,False,True
73,Hanoi University of Science and Technology,https://hust.edu.vn/uploads/sys/logo-dhbk-1-02_130_191.png,3,Public,Hanoi,40000,1956,842438693796,htdn@hust.edu.vn,https://hust.edu.vn/en/,"engineering, computer science",Hanoi University of Science and Technology was founded in 1956 and they are popular for engineering and computer science.,True,True,True,True,True,True,True,True,True,True
75,Ho Chi Minh City Open University,https://vnur.vn/wp-content/uploads/2023/01/60.Mo-TP.HCM_.jpg,29,Public,Ho Chi Minh City,32000,1990,842838364748,ou@ou.edu.vn,http://en.ou.edu.vn/,"business, IT, social sciences","Ho Chi Minh City Open University was founded in 1990 and they are popular for business, IT and social sciences.",True,True,True,True,True,False,True,True,False,True
76,Ho Chi Minh City University of Agriculture and Forestry,https://upload.wikimedia.org/wikipedia/vi/e/e1/Logo_HCMUAF.svg,58,Public,Ho Chi Minh City,23000,1955,842838975433,kln@hcmuaf.edu.vn,https://en.hcmuaf.edu.vn/,"agriculture, forestry",Ho Chi Minh City University of Agriculture and Forestry was founded in 1955 and they are popular for agriculture and forestry.,True,False,True,True,False,False,True,False,True,True
77,Ho Chi Minh City University Of Culture,https://vnur.vn/wp-content/uploads/2023/01/75.Van-hoa-TP.HCM_.jpg,77,Public,Ho Chi Minh City,25000,1976,842838992901,dhvh@hcmuc.edu.vn,https://hcmuc.edu.vn/,"cultural studies, arts",Ho Chi Minh City University Of Culture was founded in 1976 and they are popular for cultural studies and arts.,False,True,False,False,False,False,False,False,True,True
79,Ho Chi Minh City University of Education,https://vnur.vn/wp-content/uploads/2023/01/53.Su-pham-TP.HCM_.png,20,Public,Ho Chi Minh City,25000,1976,842838352020,phonghtqt@hcmue.edu.vn,https://hcmue.edu.vn/en/,"education, psychology, social sciences","Ho Chi Minh City University of Education was founded in 1976 and they are popular for education, psychology and social sciences.",False,True,False,False,False,False,True,True,True,True
80,Ho Chi Minh City University of Fine Arts,https://upload.wikimedia.org/wikipedia/commons/b/b6/Logohcmufa.png,85,Public,Ho Chi Minh City,30000,1976,842838030237,daotao@hcmufa.edu.vn,https://hcmufa.edu.vn/,"fine arts, design",Ho Chi Minh City University of Fine Arts was founded in 1976 and they are popular for fine arts and design.,False,True,False,False,False,False,False,False,False,True
83,Ho Chi Minh City University of Industry and Trade,https://giaoduc247.vn/uploads/082021/images/HUIT(1).jpeg,47,Public,Ho Chi Minh City,26000,2004,842838161673,info@huit.edu.vn,https://huit.edu.vn/academics/ho-chi-minh-city-university-of-food-industry-hufi-has-officially-changed-its-name-to-ho-chi-minh-city-university-of-industry-and-trade-huit?&lang=en,"business, engineering, IT","Ho Chi Minh City University of Industry and Trade was founded in 2004 and they are popular for business, engineering and IT.",True,True,True,True,True,False,True,False,True,True
84,Ho Chi Minh City University of Law,https://vnur.vn/wp-content/uploads/2023/01/83.Luat-TP.HCM_.jpg,51,Public,Ho Chi Minh City,10000,1996,84839400989,info@hcmulaw.edu.vn,https://en.hcmulaw.edu.vn/,"law, political science",Ho Chi Minh City University of Law was founded in 1996 and they are popular for law and political science.,False,False,True,False,True,False,False,False,True,True
86,Ho Chi Minh City University of Physical Education and Sports,https://upload.wikimedia.org/wikipedia/vi/0/0c/Logo-truong-dai-hoc-the-duc-the-thao-tp-hcm.jpg,57,Public,Ho Chi Minh City,25000,1976,842838552014,htqt@dhtdtthcm.edu.vn,https://en.wikipedia.org/wiki/Ho_Chi_Minh_City_University_of_Sport,"sports science, physical education",Ho Chi Minh City University of Physical Education and Sports was founded in 1976 and they are popular for sports science and physical education.,False,False,True,False,False,False,False,False,True,True
87,Ho Chi Minh City University of Technology (HUTECH),https://vnur.vn/wp-content/uploads/2023/01/35.HUTECH.jpg,74,Private,Ho Chi Minh City,35000,1995,842854457777,hutech@hutech.edu.vn,https://www.hutech.edu.vn/english,"engineering, IT, business","Ho Chi Minh City University of Technology (HUTECH) was founded in 1995 and they are popular for engineering, IT and business.",True,True,True,True,True,True,True,True,True,True
88,Ho Chi Minh City University of Technology and Education,https://vnur.vn/wp-content/uploads/2023/01/28.Su-pham-Ky-thuat-TP.HCM_.jpg,24,Public,Ho Chi Minh City,30000,1962,842838968641,ic@hcmute.edu.vn,https://en.hcmute.edu.vn/,"engineering, education, IT","Ho Chi Minh City University of Technology and Education was founded in 1962 and they are popular for engineering, education and IT.",True,True,True,True,True,True,True,True,True,True
89,Ho Chi Minh City University of Transport,https://ptc.ut.edu.vn/wp-content/uploads/2023/02/uth_logo_2.png,73,Public,Ho Chi Minh City,15000,2001,842838991373,ut-hcmc@ut.edu.vn,https://ut.edu.vn/en/,"transport engineering, logistics",Ho Chi Minh City University of Transport was founded in 2001 and they are popular for transport engineering and logistics.,False,False,True,True,False,False,True,False,True,True
94,Hong Bang International University,https://vnur.vn/wp-content/uploads/2023/01/62.-DH-Quoc-Te-Hong-Bang.jpg,79,Private,Ho Chi Minh City,18000,1997,842873083456,info@hiu.vn,https://hiu.vn/en/,"medicine, business, engineering","Hong Bang International University was founded in 1997 and they are popular for medicine, business and engineering.",True,True,True,True,True,True,True,True,True,True
95,Hong Duc University,https://vnur.vn/wp-content/uploads/2023/01/24.Hong-Duc.jpg,63,Public,Thanh Hoa,10000,1997,842373910222,cict@hdu.edu.vn,https://hdu.edu.vn/,"engineering, education, economics","Hong Duc University was founded in 1997 and they are popular for engineering, education and economics.",True,True,True,True,True,True,True,True,True,True
99,Hue University,https://vnur.vn/wp-content/uploads/2023/01/10.Hue_.jpg,11,Public,Hue,50000,1994,842343825866,office@hueuni.edu.vn,https://hueuni.edu.vn/portal/en/,"medicine, agriculture, education, social sciences","Hue University was founded in 1994 and they are popular for medicine, agriculture, education and social sciences.",True,True,True,True,True,True,True,True,True,True
103,Hung Yen University of Technology and Education,https://vnur.vn/wp-content/uploads/2023/01/23.Su-pham-Ky-thuat-Hung-Yen.png,60,Public,Hung Yen,10000,2003,842213689333,huuhop78@gmail.com,https://upm.vn/university/16,"engineering, education",Hung Yen University of Technology and Education was founded in 2003 and they are popular for engineering and education.,False,True,True,True,True,False,True,True,True,True
104,Industrial University of Ho Chi Minh City,https://vnur.vn/wp-content/uploads/2023/01/11.Cong-nghiep-TP.HCM_.jpg,21,Public,Ho Chi Minh City,26000,1956,842839851932,phongdaotao@iuh.edu.vn,https://iuh.edu.vn/en,"engineering, technology, business","Industrial University of Ho Chi Minh City was founded in 1956 and they are popular for engineering, technology and business.",False,True,True,True,False,False,True,True,False,True
107,Kien Giang University,https://www.vnkgu.edu.vn/public/images/logo.png,100,Public,Kien Giang,6000,2014,842973926714,mail.vnkgu.edu.vn,https://vnkgu.edu.vn/en/,"agriculture, education, business","Kien Giang University was founded in 2014 and they are popular for agriculture, education and business.",False,False,True,True,False,True,False,True,False,True
117,Nam Dinh University of Nursing,https://upload.wikimedia.org/wikipedia/vi/thumb/8/87/Logo_NDUN.png/110px-Logo_NDUN.png,98,Public,Nam Dinh,4000,1960,842283649666,dieuduong@ndun.edu.vn,https://ndun.edu.vn/home.html/en,"nursing, public health",Nam Dinh University of Nursing was founded in 1960 and they are popular for nursing and public health.,False,False,False,False,False,True,False,False,False,False
119,National Academy of Education Management,https://upload.wikimedia.org/wikipedia/vi/f/fa/Hoc_vien_QuanLyGiaoDuc.jpg,66,Academy,Hanoi,3000,1993,842438643352,hvqlgd@moet.edu.vn,https://naeducation.org/,"education management, pedagogy",National Academy of Education Management was founded in 1993 and they are popular for education management and pedagogy.,True,False,True,True,True,True,True,True,True,True
120,National Academy of Public Administration,https://vnur.vn/wp-content/uploads/2024/01/hc-logo-63a3b.webp,62,Academy,Hanoi,20000,1959,8482438359291,icd.napa@napa.vn,https://napawash.org/,"public administration, political science",National Academy of Public Administration was founded in 1959 and they are popular for public administration and political science.,True,False,True,False,True,True,False,True,True,True
121,National Economics University,https://vnur.vn/wp-content/uploads/2023/01/21.Kinh-te-Quoc-dan.jpg,15,Public,Hanoi,25000,1956,8436280280,cnttkt@neu.edu.vn,https://en.neu.edu.vn/,"economics, business, finance, management","National Economics University was founded in 1956 and they are popular for economics, business, finance and management.",True,False,True,True,True,False,False,True,True,True
123,Nguyen Tat Thanh University,https://vnur.vn/wp-content/uploads/2023/01/19.Nguyen-Tat-Thanh.jpg,17,Private,Ho Chi Minh City,30000,1999,84902298300,ntt@ntt.edu.vn,https://ntt.edu.vn/en/,"business, engineering, medicine, IT","Nguyen Tat Thanh University was founded in 1999 and they are popular for business, engineering, medicine and IT.",False,True,True,True,False,True,False,True,False,True
125,Nha Trang University,https://upload.wikimedia.org/wikipedia/commons/c/c1/Nha_Trang_University_Seal.png,46,Public,Nha Trang,17200,1959,842583831149,daotao@ntu.edu.vn,https://en.ntu.edu.vn/,"fisheries, marine science, economics","Nha Trang University was founded in 1959 and they are popular for fisheries, marine science and economics.",True,True,True,True,True,True,True,True,True,True
129,Pham Ngoc Thach University of Medicine,https://upload.wikimedia.org/wikipedia/commons/a/a8/YPhamNgocThach.png,71,Public,Ho Chi Minh City,10000,2008,842838652435,dhpnt@pnt.edu.vn,https://en.pnt.edu.vn/,"medicine, public health",Pham Ngoc Thach University of Medicine was founded in 2008 and they are popular for medicine and public health.,False,False,True,False,True,True,False,True,False,True
133,Phenikaa University,https://vnur.vn/wp-content/uploads/2023/01/43.Phenikaa.jpg,45,Private,Hanoi,25000,2007,842462918118,Info@phenikaa-uni.edu.vn,https://phenikaa-uni.edu.vn/en,"engineering, business, IT","Phenikaa University was founded in 2007 and they are popular for engineering, business and IT.",True,True,True,True,True,True,True,True,True,True
137,Posts and Telecommunications Institute of Technology,https://vnur.vn/wp-content/uploads/2023/01/24.Hoc-vien-Buu-chinh-Vien-thong.jpg,28,Public,Hanoi,30000,1953,842837306600,khcnhtqt@ptit.edu.vn,https://english.ptit.edu.vn/,"telecommunications, IT, electronics","Posts and Telecommunications Institute of Technology was founded in 1953 and they are popular for telecommunications, IT and electronics.",False,False,False,True,False,False,True,False,True,True
141,Quy Nhon University,https://vnur.vn/wp-content/uploads/2023/01/18.Quy-Nhon.png,36,Public,Quy Nhon,20000,1977,842563846156,dqn@moet.edu.vn,https://en.qnu.edu.vn/,"education, natural sciences, engineering","Quy Nhon University was founded in 1977 and they are popular for education, natural sciences and engineering.",True,True,True,True,True,True,True,True,True,True
142,RMIT University Vietnam,NA,NA,International,Hanoi,12000,2000,842837761300,enquiries@rmit.edu.vn,https://www.rmit.edu.vn/,"business, IT, design","RMIT University Vietnam was founded in 2000 and they are popular for business, IT and design.",True,True,True,True,True,True,True,True,True,True
145,Saigon University,https://vnur.vn/wp-content/uploads/2023/01/48.Sai-Gon.jpg,43,Public,Ho Chi Minh City,20000,2007,842838354409,vanphong@sgu.edu.vn,https://www.sgu.edu.vn/,"business, IT, social sciences","Saigon University was founded in 2007 and they are popular for business, IT and social sciences.",False,True,True,True,True,True,True,True,True,True
152,Tay Do University,https://vnur.vn/wp-content/uploads/2023/01/76.Tay-Do.jpg,86,Private,Can Tho,30000,2006,842939028579,admin@tdu.edu.vn,https://en.tdu.edu.vn/,"agriculture, business, IT","Tay Do University was founded in 2006 and they are popular for agriculture, business and IT.",True,True,True,True,True,True,True,True,True,True
153,Tay Nguyen University,https://vnur.vn/wp-content/uploads/2023/01/74.Tay-Nguyen.jpg,75,Public,Buon Ma Thuot,10000,1977,842623825185,dhtn@ttn.edu.vn,https://www.ttn.edu.vn/index.php/en/,"agriculture, education, economics","Tay Nguyen University was founded in 1977 and they are popular for agriculture, education and economics.",True,True,True,True,True,True,True,True,True,True
156,Thai Binh University of Medicine and Pharmacy,https://vnur.vn/wp-content/uploads/2023/01/45.Y-Thai-Binh.jpg,80,Public,Thai Binh,6800,1968,842273838545,dhydtb@tbump.edu.vn,https://tbump.edu.vn/,"medicine, pharmacy",Thai Binh University of Medicine and Pharmacy was founded in 1968 and they are popular for medicine and pharmacy.,False,False,False,False,False,True,True,False,False,True
157,Thai Nguyen University,https://vnur.vn/wp-content/uploads/2023/01/17.Thai-Nguyen.jpg,26,Public,Thai Nguyen,70000,1994,842083852650,internationa@tnus.edu.vn,http://en.tnue.edu.vn/university,"medicine, engineering, agriculture","Thai Nguyen University was founded in 1994 and they are popular for medicine, engineering and agriculture.",True,True,True,True,True,True,True,True,True,True
162,Thai Nguyen University of Technology,NA,NA,Public,Thai Nguyen,9000,1965,84912673378,itc@tnut.edu.vn,https://en.ictu.edu.vn/,"engineering, IT",Thai Nguyen University of Technology was founded in 1965 and they are popular for engineering and IT.,True,True,True,True,True,True,True,True,True,True
163,Thang Long University,https://vnur.vn/wp-content/uploads/2023/01/54.Thang-Long.jpg,41,Private,Hanoi,11000,1988,842438587346,info@thanglong.edu.vn,https://en.thanglong.edu.vn/,"business, IT, engineering","Thang Long University was founded in 1988 and they are popular for business, IT and engineering.",False,True,True,True,True,True,True,True,True,True
166,Thu Dau Mot University,https://vnur.vn/wp-content/uploads/2023/01/15.Thu-Dau-Mot.png,32,Public,Thu Dau Mot City,18000,2009,842743822518,thongtindientu@tdmu.edu.vn,https://eng.tdmu.edu.vn/,"engineering, business, education","Thu Dau Mot University was founded in 2009 and they are popular for engineering, business and education.",True,True,True,True,True,True,True,True,True,True
167,Thuongmai University,https://vnur.vn/wp-content/uploads/2023/01/32.Thuong-mai.jpg,12,Public,Hanoi,20000,1960,842437643219,mail@tmu.edu.vn,https://tmu.edu.vn/,"business, economics, marketing, finance","Thuongmai University was founded in 1960 and they are popular for business, economics, marketing and finance.",True,False,True,True,True,True,True,True,True,True
168,Thuy Loi University,https://vnur.vn/wp-content/uploads/2023/01/12.Thuy-loi.jpg,18,Public,Hanoi,16000,1959,842438522201,phonghcth@tlu.edu.vn,https://en.tlu.edu.vn/,"water resources engineering, civil engineering",Thuy Loi University was founded in 1959 and they are popular for water resources engineering and civil engineering.,False,False,True,True,False,False,False,True,False,True
170,Ton Duc Thang University,https://www.tdtu.edu.vn/sites/www/files/logo/logo-tdt-new.png,5,Public,Ho Chi Minh City,24000,1997,842837755039,tonducthanguniversity@tdtu.edu.vn,https://www.tdtu.edu.vn/en,"engineering, business, computer science, medicine","Ton Duc Thang University was founded in 1997 and they are popular for engineering, business, computer science and medicine.",True,True,True,True,True,True,True,True,True,True
171,Tra Vinh University,NA,NA,Public,Tra Vinh,21000,2006,842943855246,tvu@tvu.edu.vn,https://en.tvu.edu.vn/,"agriculture, business, IT","Tra Vinh University was founded in 2006 and they are popular for agriculture, business and IT.",True,True,True,True,True,True,True,True,True,True
174,University of Architecture Ho Chi Minh City,https://vnur.vn/wp-content/uploads/2023/01/64.Kien-truc-TP.HCM_.jpg,54,Public,Ho Chi Minh City,8000,1976,8483822748,phongcthssv@uah.edu.vn,http://en.uah.edu.vn/,"architecture, design",University of Architecture Ho Chi Minh City was founded in 1976 and they are popular for architecture and design.,False,True,False,True,True,False,True,False,True,True
175,University of Da Nang,https://vnur.vn/wp-content/uploads/2023/01/9.Da-Nang.jpg,9,Public,Da Nang,50000,1994,842363841323,ued@ued.udn.vn,https://udn.vn/english,"engineering, economics, IT, foreign languages","University of Da Nang was founded in 1994 and they are popular for engineering, economics, IT and foreign languages.",True,True,True,True,True,True,True,True,True,True
176,University of Economics – Technology for Industries,https://vnur.vn/wp-content/uploads/2023/01/19.Kinh-te-Ky-thuat-Cong-nghiep.jpg,99,Public,Hanoi,14000,1956,842438621504,admin@studyinvietnam.edu.vn,http://studyinvietnam.edu.vn/detail-university/university-of-economics-and-engineering-industry-275.html,"engineering, economics, IT","University of Economics – Technology for Industries was founded in 1956 and they are popular for engineering, economics and IT.",True,False,True,True,False,False,True,True,True,True
179,University of Economics Ho Chi Minh City,https://vnur.vn/wp-content/uploads/2023/01/6.Kinh-te-TP.HCM_.jpg,4,Public,Ho Chi Minh City,38000,1976,842838295299,info@ueh.edu.vn,https://ueh.edu.vn/en/,"economics, business administration, finance","University of Economics Ho Chi Minh City was founded in 1976 and they are popular for economics, business administration and finance.",True,True,True,True,True,True,True,True,True,True
187,University of Labour and Social Affairs CSII,https://vnur.vn/wp-content/uploads/2023/01/52.lao-dong-Xa-hoi.png,48,Public,Hanoi,5000,2005,842435566262,banbientap@molisa.gov.vn,http://ldxh.edu.vn/international-scientific-conference-on-social-work-co-hosted-by-campus-ii-university-of-labour-and-social-affairs.html,"social work, labor relations",University of Labour and Social Affairs CSII was founded in 2005 and they are popular for social work and labor relations.,False,False,True,False,False,False,False,True,False,True
